Name;CJ1;CJ2;CJ3;CS1;CS2;CS3;GM1;GM2;GM3;GP1;GP2;GP3
Group;CJ;CJ;CJ;CS;CS;CS;GM;GM;GM;GP;GP;GP
50.52248698;0.000164982;0.000227453;0.000156312;0.000132353;0.00010988;0.000215216;2.67E-05;0;1.27E-06;4.35E-07;2.75E-05;0
53.00314524;0.001696869;0.001116996;0.001162899;0.002014466;0.001503202;0.001193075;0.000203181;0.000195277;0.000157453;0.000216648;0.000276445;0.000207771
55.05567014;0.004082144;0.003188596;0.00395835;0.004055027;0.002975292;0.003777265;0.000539473;0.000472726;0.000488447;0.000682572;0.000763017;0.00059672
55.93439587;0.000893711;0.000287255;0.001024525;0.000804104;0.00091563;0.000959801;0.000494619;0.000436149;0.000477737;0.000595088;0.000615474;0.000508456
56.94413456;0.000500637;0.000279872;0.000809119;0.000745396;0.000794442;0.000859088;0.000619887;0.000493675;0.000577434;0.000632565;0.000717808;0.00071261
57.07026171;0.007418252;0.005068244;0.007015446;0.006170385;0.005008248;0.006805323;0.000798887;0.000636851;0.000752936;0.000819872;0.000919225;0.000928776
57.37185888;0.000128673;0.000231861;0.000154734;0.000151468;0.000141986;0.000220082;0.001205499;0.001056788;0.001220115;0.001284997;0.001307572;0.001376123
58.02953666;0.003810948;0.002895415;0.003356365;0.004053179;0.003010689;0.003267214;0.000472146;0.000462596;0.00047144;0.000482452;0.000450621;0.000498814
59.00830162;0.004658447;0.003068837;0.004848284;0.004122047;0.003624403;0.004740097;0.000497049;0.000420046;0.000361602;0.000424116;0.000399034;0.000454833
60.67489617;0.000138907;0.000212278;0.000215417;0.000124363;0.000119794;0.000124069;0.001533466;0.001671422;0.001136634;0.001596603;0.001459411;0.001382877
60.98795651;0.009927607;0.005871438;0.009487501;0.008367392;0.006152395;0.008673543;0.000948117;0.001000974;0.000688694;0.00095642;0.000982128;0.000818915
63.00335309;0.004055523;0.002594661;0.004028052;0.003984078;0.003395425;0.00393219;0.000293071;0.00024563;0.000214325;0.000327823;0.00033565;0.000255155
63.42901012;0.000154802;0.000117137;0.000214602;8.15E-05;0.000107951;0.000160723;0.000506902;0.000451065;0.000363211;0.000529544;0.000510393;0.000451147
65.03957631;0.004477021;0.003059921;0.00347714;0.004223034;0.003008522;0.003365221;0.000332007;0.000249149;0.000214085;0.000510023;0.000518887;0.000366204
65.41704659;0.00020741;0.000244345;0.00027774;0.000136833;0.000111228;0.000232085;0.000562057;0.000423263;0.000355702;0.000860012;0.000817386;0.000600479
66.04341876;0.000799481;0.000588367;0.000500216;0.00104979;0.000737676;0.000494305;0.000231772;0.000194933;0.000146345;0.000353504;0.000338007;0.000254907
67.05614285;0.006779234;0.004254711;0.005577351;0.005263326;0.003946571;0.005305113;0.000517255;0.000346609;0.000400498;0.000256268;0.000768858;0.00050434
68.05333453;0.000674715;0.000617613;0.000523112;0.001166805;0.000675282;0.000363118;0.000367438;0.00026549;0.000288948;0.000180763;0.000462716;0.00032756
69.07088609;0.009247717;0.006087857;0.008160075;0.007658872;0.005786076;0.007472066;0.001491883;0.001112201;0.001216763;0.001506067;0.002047029;0.001616844
70.06704436;0.00295722;0.00246124;0.00286017;0.003536402;0.002470144;0.002773541;0.000709811;0.000627788;0.00061761;0.000810646;0.000790744;0.000786343
71.0868543;0.01220385;0.008097624;0.011583595;0.010487305;0.008672732;0.01138891;0.001799166;0.001821052;0.002056499;0.002508326;0.002689281;0.002639033
71.28182799;0.000126545;0.000118819;0.000244914;0.000121657;6.04E-05;0.000225706;0.002310859;0.002598224;0.00274099;0.003196171;0.00325622;0.003397813
71.95363925;0.0028172;0.002442564;0.002881248;0.003044876;0.002594752;0.00261089;0.001690708;0.001970721;0.00201509;0.002089515;0.00208258;0.002373363
72.04672778;0.002400572;0.001965263;0.002620825;0.003138857;0.002555445;0.002305914;0.001606262;0.001872194;0.001910864;0.001942216;0.001931853;0.0022335
72.98754087;0.006640183;0.005472184;0.009245365;0.007095086;0.006271114;0.009127387;0.000511959;0.000647864;0.000636436;0.000490382;0.000461477;0.000682648
73.94499771;0.000839752;0.000296449;0.000784201;0.000691026;0.000742746;0.000723153;0;0.000164586;0;0;0;0
74.09790413;0.003434218;0.002744791;0.003366124;0.003657276;0.003138023;0.003574362;0;0.000210055;0;0;0;0
75.05105171;0.027125488;0.017361813;0.027450506;0.019848676;0.017081907;0.026339764;0.008377593;0.007987986;0.007452455;0.008632953;0.008120023;0.00834122
76.00701541;0.001157564;0.000814614;0.00106899;0.00167297;0.001212586;0.001196058;0.002864053;0.002862665;0.002644886;0.002933702;0.002816078;0.002873952
77.01961562;0.01510692;0.01382038;0.017158212;0.01433265;0.012975727;0.016168694;0.004363211;0.002904645;0.003708892;0.003817435;0.003727233;0.004368417
78.0373027;0.000769789;0.000669408;0.000703616;0.001412585;0.000454992;0.000760408;0.002183482;0.001953256;0.002057436;0.002080915;0.00191183;0.002221247
78.99834885;0.014445958;0.00778589;0.016030282;0.017922053;0.011043243;0.015226284;0.00021929;0.000233933;0.000186371;0.000361608;0.000517707;0.000387957
80.05462545;0.001479006;0.001353362;0.001331564;0.00261021;0.002311531;0.001303453;0.000130632;0;0.000128851;0.000228631;0.000309616;0.000231203
81.15252042;0.014213013;0.008951512;0.012877434;0.011482385;0.00867737;0.012385533;0.003690488;0.002919088;0.002864788;0.003921109;0.004371842;0.003736939
82.07131866;0.002383294;0.002159637;0.001821594;0.002670581;0.001920904;0.001861974;0.00114435;0.001004009;0.000886196;0.001316278;0.001180326;0.001201676
83.08723525;0.009302153;0.006731719;0.008532798;0.008842273;0.006742739;0.008426373;0;0;0;0;0;0
84.08880186;0.001779858;0.001597692;0.00147775;0.001955272;0.001379316;0.001265086;0.002170485;0.00200944;0.002315056;0.001986357;0.001607087;0.001997679
84.88374437;0.019483619;0.015686347;0.025116279;0.01568055;0.013440555;0.023870342;0.004101691;0.003726851;0.004338841;0.003570728;0.002959827;0.003668841
85.10425983;0.011467345;0.006702923;0.010996008;0.009186613;0.007484016;0.011497981;0.002069538;0.001841062;0.002427896;0.001592603;0.001420252;0.001930619
86.02039839;0.007577673;0.00394211;0.005464623;0.005445637;0.004544812;0.005282738;0.000281493;0.000243308;0.000434666;0.000237586;0.000198912;0.000344559
87.04544334;0.018512598;0.011126692;0.016513039;0.012319983;0.009790614;0.016106351;0;0;0;0;0;0
87.96464549;0.001408213;0.000774082;0.002018032;0.001880952;0.002119532;0.002247903;0.000695851;0.000810173;0.000765138;0.000470603;0.000363593;0.000560513
88.07735493;0.003115521;0.002636403;0.003127794;0.004000086;0.003407322;0.003254967;0.000798295;0.00093727;0.000879531;0.000539887;0.000415617;0.000641391
88.76546799;0.000145829;0.000125879;0.000136738;0.000110945;8.59E-05;0.000225914;0.001423731;0.001713223;0.00157986;0.00099091;0.000733232;0.001145922
88.98241488;0.019253587;0.011221783;0.021520114;0.013784074;0.011563424;0.020207306;0.001502213;0.001627038;0.001830489;0.0014887;0.001413381;0.001620276
