"","CJ2_1","CJ2_2","CJ2_3","CS2_1","CS2_2","CS2_3"
"Label","CJ","CJ","CJ","CS","CS","CS"
"149.0223413","-0.44308764"," 1.88654939","-0.25287499","-0.46177293","-0.76475099"," 0.03593716"
"150.0297289"," 0.2539202"," 1.5564324","-0.2248728","-0.3782717","-0.6831304","-0.5240776"
"150.9903498","-0.15239589"," 1.39365680","-0.06849601","-0.55408610","-0.52801022","-0.09066858"
"151.1160879","-2.4520235","-0.3748808","-2.5308830"," 4.1692513"," 3.7344961","-2.5459600"
"152.9887746"," 0.21955492"," 1.78242078","-0.69242023","-0.59596957","-0.61829361","-0.09529229"
"153.1240128","-2.4468346","-0.3696919","-2.5256940"," 4.2016031"," 3.6813884","-2.5407711"
"155.0652829","-0.1242627"," 1.8978192","-0.8485627","-0.2080160","-0.5276743","-0.1893034"
"156.0925016","-2.3950413","-0.3178986","-2.4739008"," 3.9715086"," 3.7043100","-2.4889778"
"157.0360083","-0.1023124"," 1.7989641","-0.4836534","-0.4745468","-0.5204845","-0.2179670"
"158.1547292"," 0.06333127"," 1.34736020","-0.13257148","-0.38595304","-0.73177757","-0.16038938"
"159.0516833"," 0.06108001"," 1.29502809"," 0.31228262","-0.65835379","-0.95100645","-0.05903047"
"159.1308377","-2.4544452","-0.3773025","-2.5333046"," 4.1041213"," 3.8093126","-2.5483816"
"160.0570536"," 0.2640225"," 1.3720914","-0.3399797","-0.1774277","-0.6477052","-0.4710012"
"161.0611401","-0.3843824"," 1.1153578"," 1.5838402","-1.4605011","-1.8234541"," 0.9691396"
"162.0429563","-2.6112321","-0.5340894"," 4.9417732","-3.3318659","-3.1945457"," 4.7299599"
"163.0432491","-0.3864857"," 1.8552580","-0.4379395","-0.2464229","-0.4256672","-0.3587427"
"164.0460086"," 0.9465042","-3.9348276"," 0.9527532"," 0.8982925"," 0.7064683"," 0.4308094"
"165.0101241","-0.2606355"," 1.5606326","-0.1747726","-0.4762912","-0.4506294","-0.1983039"
"166.9908656","-0.05264269"," 1.72526628"," 0.14654243","-0.72423626","-0.68585480","-0.40907496"
"169.0205232","-0.1701886"," 1.7943447","-0.4962276","-0.3530367","-0.3959131","-0.3789786"
"170.0934427"," 3.104690","-1.486568","-3.642570"," 3.033553"," 2.648542","-3.657647"
"171.002794"," 4.238975","-2.067978","-4.223980"," 3.190200"," 3.101841","-4.239058"
"171.1024969","-6.5557839"," 2.8784793"," 0.8353879"," 1.1438725"," 0.8467194"," 0.8513248"
