"","FC","log2(FC)","raw.pval","-log10(p)"
"137.0218256",2.5382,1.3438,0.19785,0.70367
"128.0598444",0.046435,-4.4286,0.19895,0.70126
"229.1440973",2.715,1.4409,0.19972,0.69957
"326.9796231",2.0105,1.0076,0.20209,0.69445
"247.1199868",2.5086,1.3269,0.20222,0.69418
"342.024158",2.2408,1.164,0.20229,0.69402
"135.0403004",2.3227,1.2158,0.20232,0.69396
"97.07981459",2.4891,1.3156,0.20347,0.6915
"685.4521007",0.054951,-4.1857,0.20457,0.68915
"103.0180665",1.8313,0.87288,0.20713,0.68375
"276.9417683",2.8652,1.5186,0.20799,0.68196
"1115.205971",12.527,3.647,0.2091,0.67965
"150.9903498",1.9367,0.95357,0.20994,0.6779
"174.0905773",2.2019,1.1388,0.21162,0.67445
"520.1490806",2.301,1.2023,0.21263,0.67237
"245.0073823",4.7165,2.2377,0.21673,0.66407
"161.0611401",2.2777,1.1876,0.21868,0.66018
"125.0546421",2.2976,1.2001,0.22135,0.65492
"173.0739733",2.6995,1.4327,0.22191,0.65382
"115.0430997",2.1958,1.1347,0.22197,0.6537
"67.05580414",2.3253,1.2174,0.2222,0.65326
"69.06429588",2.2902,1.1954,0.2227,0.65228
"184.058435",2.1224,1.0857,0.22306,0.65158
"953.1681134",1.6871,0.75459,0.22404,0.64968
"446.1293491",1.804,0.85123,0.22413,0.64949
"764.1946844",1.818,0.86235,0.22653,0.64488
"190.9791124",2.6469,1.4043,0.22695,0.64406
"72.99221092",0.098838,-3.3388,0.22698,0.64401
"431.0827593",2.2764,1.1867,0.22739,0.64323
"833.2597846",3.8582,1.9479,0.22775,0.64254
"60.98764222",1.9507,0.96399,0.23077,0.63682
"83.06655752",2.5185,1.3325,0.23218,0.63418
"177.1404561",2.5518,1.3515,0.23473,0.62942
"519.1468301",1.9101,0.93364,0.23479,0.62931
"302.1510826",3.7721,1.9154,0.23639,0.62636
"225.0218976",2.1264,1.0884,0.23663,0.62593
"758.2363719",2.2496,1.1696,0.23788,0.62365
"95.07749959",2.4633,1.3006,0.23822,0.62301
"761.2358727",1.7342,0.79427,0.24006,0.61968
