"","FC","log2(FC)","raw.pval","-log10(p)"
"907.1298547",3.1776,1.6679,0.48895,0.31073
"298.4831801",1.0659,0.092081,0.49847,0.30236
"777.7428263",2.7173,1.4422,0.501,0.30016
"703.3486025",0.91047,-0.13531,0.50459,0.29707
"833.0923564",2.4721,1.3057,0.5085,0.29371
"1098.42998",7.1294,2.8338,0.51204,0.29069
"254.7713439",0.95569,-0.065393,0.52794,0.27741
"685.8557236",0.54942,-0.86402,0.53371,0.2727
"801.5156961",1.2224,0.28969,0.53738,0.26972
"1114.505107",1.2755,0.35101,0.54218,0.26586
"202.2443924",0.94835,-0.076514,0.55023,0.25945
"430.2649726",0.95542,-0.065795,0.56881,0.24504
"504.1019967",0.95292,-0.069567,0.58627,0.2319
"623.5601776",0.92908,-0.10612,0.59578,0.22492
"1132.597394",0.78639,-0.34668,0.60737,0.21655
"651.8768117",1.0603,0.084424,0.61826,0.20883
"270.5816256",0.93028,-0.10426,0.63396,0.19794
"327.3291932",1.1489,0.20021,0.63626,0.19637
"276.5161938",0.9324,-0.10098,0.66195,0.17917
"926.86698",0.15235,-2.7145,0.68035,0.16727
"538.2937584",0.96463,-0.051954,0.6844,0.16469
"218.6006104",0.93681,-0.094169,0.69183,0.16
"122.4346593",0.96829,-0.046487,0.71267,0.14711
"845.0023852",1.1133,0.15481,0.71471,0.14587
"594.8351854",0.98322,-0.02442,0.71619,0.14497
"938.6464809",1.0583,0.081774,0.72051,0.14236
"1030.441527",2.1717,1.1188,0.72502,0.13965
"216.3034757",0.93579,-0.095749,0.7274,0.13823
"237.0667911",1.1168,0.15935,0.74805,0.12607
"924.6129452",1.5496,0.63194,0.75614,0.1214
"834.827016",1.0441,0.062301,0.75851,0.12004
"110.3667093",1.1301,0.1764,0.77652,0.10985
"246.7680472",1.001,0.0015012,0.79079,0.10194
"1121.43647",1.3474,0.43022,0.79101,0.10182
"104.550476",0.98095,-0.027755,0.80217,0.095736
"1128.868075",0.20634,-2.2769,0.80509,0.094153
"771.3228196",0.97192,-0.041083,0.80614,0.093592
"869.2774562",0.51798,-0.94903,0.81332,0.089739
"725.525946",0.43188,-1.2113,0.83009,0.080873
"940.9791284",2.3594,1.2384,0.83519,0.078216
"578.0108846",1.0136,0.019506,0.84183,0.074776
"520.271727",0.98659,-0.019479,0.84731,0.071955
"1171.298466",1.7525,0.80943,0.84779,0.071712
"1186.653166",1.9552,0.9673,0.85128,0.069928
"222.8756134",0.98834,-0.016916,0.85294,0.06908
"1158.814168",2.7494,1.4591,0.87411,0.058436
"612.3160699",0.99238,-0.011034,0.87915,0.055938
"445.4833414",1.0207,0.029578,0.8959,0.04774
"118.3461426",0.99679,-0.0046385,0.90172,0.04493
"1180.849769",1.3879,0.47288,0.91742,0.037433
"721.3687585",0.55946,-0.8379,0.92076,0.035856
"1167.389991",0.56229,-0.83061,0.93072,0.031182
"1160.644166",1.4943,0.57943,0.9426,0.025673
"76.50013595",1.0085,0.012242,0.94363,0.025196
"192.5447475",1.0228,0.03253,0.94561,0.024288
"1072.603998",4.4848,2.165,0.96268,0.016516
"848.8450942",0.79246,-0.3356,0.98359,0.0071848
"944.528214",0.88898,-0.16978,0.98552,0.0063339
"815.477941",0.75601,-0.40352,0.99374,0.0027266
